1;Металлообработка;;'1':'Металлообработка',
2;Химическая промышленность;;'2':'Химическая промышленность',
3;Пищевая промышленность;;'3':'Пищевая промышленность',
4;Горнодобывающее производство;;'4':'Горнодобывающее производство',
5;Лесная промышленность, деревообработка, целлюлозно-бумажная обработка;;'5':'Лесная промышленность, деревообработка, целлюлозно-бумажная обработка',
6;Обработка цветных и драгоценных металлов;;'6':'Обработка цветных и драгоценных металлов',
7;Строительные материалы;;'7':'Строительные материалы',
8;Легкая промышленность;;'8':'Легкая промышленность',
9;Нефтегазовая промышленность;;'9':'Нефтегазовая промышленность',
10;Угольная промышленность;;'10':'Угольная промышленность',
11;Высокотехнологичное оборудование и ИТ;;'11':'Высокотехнологичное оборудование и ИТ',
